Question,Bot Reply
How do I register as an individual with the IRD?,You can register online through the G-TAX portal at tax.gov.gd or in person at an IRD office using a valid government ID and proof of address.
How do I register a business with the IRD?,"First obtain a Business Registration Certificate from CAIPO, then submit it along with your business details to the IRD online or in person."
What forms do I need for individual registration?,"You must submit the IRD Individual Registration Form, or the IRD Individual Enterprise Registration Form if you are a sole trader."
What forms do I need for business registration?,You must submit the IRD Non-Individual Registration Form or Non-Individual Enterprise Registration Form.
How do I get a Tax Identification Number (TIN)?,You can request a TIN by applying online at tax.gov.gd or by handing in a paper registration form at any IRD office.
Can I register multiple businesses under one TIN?,"Sole proprietors operate multiple trade names under one individual TIN, but incorporated companies must each have their own unique TIN."
Do I need to register if I earn foreign income?,"Yes, tax residents in Grenada must register and declare foreign income earned overseas or remitted locally."
How do I apply for an extension to file my tax return?,Submit a formal written request explaining your reasons to the Comptroller of Inland Revenue before the official filing deadline.
Do I need a Tax Clearance Certificate?,"You need a Tax Clearance Certificate for government tenders, property transfers, work permits, and certain business loans."
Are there penalties for late registration or filing?,"Yes, late filings and overdue tax payments result in statutory penalties and monthly interest charges."
How do I check my IRD account balance or status?,Log in to your G-TAX account at tax.gov.gd or request an official Statement of Account directly from an IRD office.
What documents should I keep for my records?,"Keep all financial records, invoices, receipts, bank statements, and tax notices for at least six years."
How do I correct errors on my registration form?,Correct your details online through your G-TAX account or submit supporting documents to IRD Customer Support to request an update.
How do I know if my registration was successful?,You will receive an official confirmation email or letter containing your new TIN once your account is active.
Where is the IRD office located in St. George's?,"The main IRD office is located on Young Street, St. George's, Grenada."
Can I submit my registration forms online?,"Yes, you can register, upload documents, file tax returns, and make payments online using the G-TAX / Tax e-Filing portal at tax.gov.gd."
How do I contact the IRD by phone or email?,"You can contact the IRD Helpdesk by calling +1 (473) 440-3556 or +1 (473) 435-6945/46, or emailing helpdesk@ird.gov.gd."
How long does registration processing take?,Registration processing usually takes between 3 to 10 business days after all required documents are submitted.
Can I update my mailing address?,"Yes, you can update your address directly in your G-TAX portal settings or by submitting an IRD Change of Mailing Address Form."
Who can help me if I have trouble completing the forms?,"You can get assistance from IRD customer service officers at the main office, district revenue offices, or by phone and email support."
What identification is required to apply for a TIN?,You need a valid government-issued photo ID (such as a passport or driver's license) and proof of address.
Is there a fee to register or receive a TIN with the IRD?,"No, registering with the Inland Revenue Department and receiving a Tax Identification Number is completely free."
Can a non-resident or foreign national register with the IRD?,"Yes, non-residents who earn income or conduct business within Grenada can register for a TIN."
What are the official opening hours for the IRD office?,"The main office is open Monday to Friday, 8:00 AM to 4:00 PM. The Cash Office closes earlier, at 3:00 PM."
Do I need to schedule an appointment to visit the IRD office in person?,"No appointment is required for general inquiries, though booking ahead is recommended for complex tax consultations."
Who do I contact if I am locked out of my e-Filing or GTAX account?,You can contact the IRD Helpdesk by emailing helpdesk@ird.gov.gd or calling +1 (473) 440-3556.
How do I reset my IRD online portal password?,"Click the ""Forgot Password"" link on the GTAX/e-Tax portal login page to receive a reset link via email."
Is technical support available on weekends or public holidays?,"No, technical and general support is only available Monday through Friday during regular business hours."
Does the IRD have official social media channels for updates?,"Yes, official updates and public announcements are posted on the IRD's Facebook page (GrenadaIRD) and Instagram account (@grenadainlandrevenue)."
Can I request an in-person advisory meeting with a tax officer?,"Yes, you can request an advisory session by contacting the Client Relations Unit, calling the main IRD office, or using the 📅 Schedule Meeting tab in this app."
Does the IRD handle motor vehicle licences and road taxes?,"Yes, motor vehicle license renewals, registration transfers, and road tax payments are processed through the IRD and District Revenue Offices."
When are annual professional and business licence payments due?,Annual licence fees must be paid at the beginning of each calendar year prior to conducting business operations.
How do I claim a refund if I overpaid my taxes?,You can claim a refund by submitting your annual tax return along with supporting documents showing excess tax payments or deductions.
What happens if my tax return is selected for an IRD audit?,"The IRD will notify you in writing to request supporting financial records, receipts, and account statements to verify your filed figures."
Is there a process to appeal an official tax assessment by the IRD?,"Yes, you can file a formal written objection with the Comptroller of Inland Revenue within specified statutory deadlines after receiving an assessment notice."
What is a Tax Clearance Certificate and why might I need one?,"A Tax Clearance Certificate confirms you have no outstanding tax debts and is often required for government contracts, bank loans, or property transfers."
How long is a Tax Clearance Certificate valid?,A Tax Clearance Certificate is typically valid for three to six months from the date of issue.
Can I obtain a Tax Clearance Certificate if I have unpaid tax arrears?,You can only receive a certificate if you settle your balance in full or enter into an approved formal payment plan with the IRD.
What is General Consumption Tax (GCT)?,GCT is a tax applied to goods and services consumed in Grenada. It is generally collected by registered businesses and paid to the IRD.
Who needs to register for GCT?,Businesses that meet the required taxable-supply threshold must register for GCT. Contact the IRD to confirm whether your business qualifies.
What is Property Tax?,"Property Tax applies to property ownership in Grenada. For account-specific balances or assessments, please contact the IRD directly."
What is Stamp Tax?,Stamp Tax applies to certain documents and transactions. Contact the IRD for guidance on which transactions require it.
What happens if I don't file a tax return at all?,"Failing to file can lead to statutory penalties, accumulating interest, and possible enforcement action. It's always best to file, even late, rather than not at all."
Can I file my tax return jointly with my spouse?,Tax filing arrangements can vary by circumstance - contact the IRD or a tax professional to confirm the correct filing approach for your situation.
Do pensioners need to pay income tax in Grenada?,Pension income may be treated differently depending on its source and amount. Contact the IRD to confirm how your specific pension income is treated.
What is the deadline for filing annual income tax returns?,"Annual filing deadlines are set by the IRD each year - check the official IRD website, Facebook page, or the 📰 Tax News tab for the current deadline."
Can I pay my taxes using a debit or credit card?,Accepted payment methods can vary by office and service - contact the IRD or check the G-TAX portal to confirm which payment methods are currently supported.
What should I do if I lose my Tax Clearance Certificate?,Contact the IRD to request a reissue or duplicate copy of your Tax Clearance Certificate.
How do I deregister a business that has closed?,"Submit a formal notice of business closure to the IRD along with your final tax filings, so your account can be properly closed out."
Can I authorize someone else to handle my tax matters on my behalf?,"Yes, you can typically appoint an authorized representative (such as an accountant) by submitting the appropriate authorization form to the IRD."
Are charitable donations tax-deductible in Grenada?,Deductibility rules can vary - contact the IRD or a tax professional to confirm whether a specific donation qualifies as deductible.
What is the difference between GCT and Income Tax?,"Income Tax is charged on income you earn, while GCT is a consumption tax charged on goods and services you buy or sell - they are separate tax types with different rules."
How do I get help filling out an IRD form?,"You can ask TESSA directly - just describe the form or upload it using the drag-and-drop uploader in the Chat tab, and TESSA will walk you through it with a worked example."
