Term,Definition
TIN (Tax Identification Number),A unique number issued by the IRD to identify a taxpayer - individual or business - in all tax dealings.
GCT (General Consumption Tax),"A tax applied to goods and services consumed in Grenada, collected by registered businesses and remitted to the IRD."
Income Tax,"A tax on income earned by individuals or businesses, including salaries, business profits, rental income, and other earnings."
Property Tax,"A tax based on the ownership of land, buildings, or other real property in Grenada."
Stamp Tax (Stamp Duty),"A tax charged on certain legal documents and transactions, such as property transfers or agreements."
Tax Clearance Certificate,"An official document confirming a taxpayer has no outstanding tax debts, often required for government tenders, loans, work permits, or property transfers."
Tax Return,"A form filed with the IRD reporting income, deductions, and tax owed or refunded for a given period."
Assessment,"The IRD's official calculation of how much tax a person or business owes, based on their filed return or available records."
Arrears,Unpaid tax amounts that are overdue past their original payment deadline.
Penalty,"An additional charge applied for late filing, late payment, or non-compliance with tax rules."
Interest (Tax Interest),"An extra charge added to overdue tax amounts, calculated monthly until the balance is paid."
Audit,A formal review by the IRD of a taxpayer's financial records to verify that filed information is accurate.
Objection,"A formal written disagreement filed by a taxpayer against an IRD tax assessment, within a set statutory deadline."
Exemption,"A specific circumstance where a person, organization, or transaction is legally excused from paying a particular tax."
Deduction,"An allowable expense or amount subtracted from total income before tax is calculated, reducing taxable income."
Withholding Tax,Tax deducted at the source of certain payments (such as wages or contractor fees) before the recipient receives the funds.
Filing Deadline,The official date by which a tax return or payment must be submitted to avoid penalties.
Statement of Account,"An official IRD record showing a taxpayer's payment history, balances, and any outstanding amounts."
Compliance,"Meeting all legal tax obligations - registering, filing on time, and paying the correct amount owed."
Remittance,The act of submitting collected tax funds (such as GCT collected from customers) to the IRD.
Business Registration Certificate,"A certificate issued by CAIPO confirming a business is legally registered, required before registering with the IRD."
Sole Trader / Sole Proprietor,"An individual who owns and operates a business under their own TIN, without forming a separate company."
Fiscal Year,"The 12-month period used for calculating and reporting taxes, which may or may not match the calendar year."
Certificate of Registration,The official document confirming a taxpayer (individual or business) is registered with the IRD.
Taxpayer Portal (G-TAX),"The IRD's online system where taxpayers can register, file returns, make payments, and manage their account."
Taxpayer Account,"A taxpayer's official record with the IRD, tracking their registration, filings, and payment history."
Non-Individual,"A registration category for legal entities other than a single person, such as companies or partnerships."
Individual Enterprise,A registration category for a sole trader operating a business under their own name/TIN.
Partnership,"A business structure where two or more people share ownership, profits, and tax obligations."
Incorporated Company,"A business formally registered as a separate legal entity, distinct from its owners."
Unincorporated Business,"A business that has not been formally incorporated as a separate legal entity, such as a sole trader."
Legal Entity,"Any organization or individual recognized by law as having rights and obligations, including tax obligations."
Beneficial Owner,"The individual(s) who ultimately own or control a business, even if not the registered legal owner."
Authorized Representative,A person formally permitted (usually via written authorization) to act on a taxpayer's behalf with the IRD.
Change of Particulars,"A formal update to a taxpayer's registered details, such as address, name, or business activity."
Deregistration,"The formal process of closing a tax registration, typically after a business ceases operations."
Reactivation,The process of restoring a previously deregistered or inactive tax account.
Gross Income,Total income earned before any deductions or allowances are applied.
Net Income,Income remaining after allowable deductions and expenses have been subtracted from gross income.
Taxable Income,The portion of income that is actually subject to tax after deductions and exemptions.
Allowable Expense,A business or personal expense that tax rules permit you to deduct from income before calculating tax.
Non-Allowable Expense,An expense that tax rules do not permit to be deducted when calculating taxable income.
